Age,disuti_M,disuti_L,disuti_U,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U,Batch
50,0.3256229024222612,0.3091324850081242,0.34445943307997107,0.0994725076355498,0.08961286101724775,0.11165996167073453,0.09940230050583254,0.08955694332085222,0.11157439300063075,0.09932004411913262,0.08948628003957716,0.11146247766106665,0.7054022571537644
55,0.34419503595706613,0.3302644904462051,0.3600513116517289,0.10495835783475899,0.09466202923201328,0.1168235663953583,0.10487203964139716,0.09458997112919651,0.11672266254011299,0.10475873559196769,0.09449573432480975,0.11659072372872184,0.7054022571537644
60,0.3635553518555309,0.3517599253432729,0.37684188535786795,0.1105748911244516,0.09988976096317619,0.12269542799166691,0.11047181556507185,0.09980077668269646,0.12256559439266278,0.1103314571926603,0.09967476153884026,0.122395900666182,0.7054022571537644
65,0.38412694383790474,0.3730832864270845,0.3956035557219476,0.11652999022117477,0.10536734303641837,0.12939840808006164,0.11640267761819881,0.10524500302389482,0.12924781140487568,0.11622740683949888,0.10509215396203582,0.12904759610799246,0.7054022571537644
70,0.4057799227394,0.3940801406412336,0.41742261068242187,0.12299502492475126,0.1109605019937426,0.13634493912192955,0.12282910940692328,0.11082112629613367,0.13615868411480067,0.12262411946248683,0.11063907130542582,0.13591543500759753,0.7054022571537644
75,0.4287740067108218,0.41437038667387377,0.4428603007608052,0.12972581892905422,0.11674749780260554,0.1439245905164239,0.1295238129975354,0.11657993036145699,0.14369212998514108,0.1292622176314001,0.11636114275992075,0.14339870576831437,0.7054022571537644
80,0.45282189016315055,0.4333458627826907,0.4716784058898549,0.13674260067025112,0.12285713119642666,0.15230302652871403,0.13651314746651683,0.12264879043015617,0.15201201834356126,0.13620689990563295,0.12237691302178946,0.15163245732789368,0.7054022571537644
85,0.4781976217186442,0.45258067686217845,0.5038044189283025,0.1441465034645282,0.12899296527058313,0.1615318871707333,0.14385289385321814,0.12875606730801062,0.16113433260037902,0.1434667004810123,0.12844706951989587,0.16066984625706454,0.7054022571537644
90,0.5050318520332645,0.4732326228474979,0.5385855997124473,0.15205632575913336,0.13481388102788935,0.1711385276700967,0.15171070885931676,0.13451086870545464,0.1707226941790493,0.15126029203257788,0.1341639122817041,0.17018093716015856,0.7054022571537644
50,0.3259885508122274,0.30985141619397516,0.3434655300860388,0.10530098046774994,0.09532492562508638,0.11710410996365163,0.10523440671390508,0.09526823937895042,0.11700900910490093,0.10514800089893014,0.09519407327548139,0.11687290166196587,0.9902193255256861
55,0.34424781342812893,0.33074296821205834,0.35900802604194204,0.11105107177287443,0.10097128686383357,0.12276996111627017,0.11095977917970756,0.10088888010674306,0.1226582516206771,0.11083853904335882,0.1007846587563139,0.12251196134718594,0.9902193255256861
60,0.3636375779283661,0.35216490326561095,0.3759955663435751,0.11706057483822341,0.10670739320528422,0.12892099699515153,0.11694749981145028,0.10660666681740891,0.12878520575537103,0.1167968407746167,0.10647499277841163,0.12860772203416082,0.9902193255256861
65,0.3839198992534284,0.3736880746483574,0.39521197035666583,0.12346539950428875,0.11238030698387112,0.13599693405114163,0.12332765334830839,0.11225444684658649,0.1358389528851823,0.12314566945671807,0.1120928741922841,0.1356325240979019,0.9902193255256861
70,0.4054043178031802,0.39379997791607335,0.4173016605776292,0.130104193598448,0.11848182335449203,0.14344086661550418,0.12993030115355697,0.11832952857520383,0.14323142062368338,0.12970144953280563,0.11813061233856342,0.14295791969822624,0.9902193255256861
75,0.42783488046787327,0.4138487329115504,0.4424735228551974,0.1371029471754172,0.12460051628030809,0.15170107520047568,0.13688878112643021,0.12442341085830694,0.1514520013982978,0.13660954061398795,0.12420652348575262,0.1511252155134929,0.9902193255256861
80,0.4515142092191281,0.4334817663134236,0.4709251305341179,0.14450691639089314,0.13094327358398003,0.1604196735762749,0.14425144988643732,0.1307345669413895,0.16011200364478292,0.14391449715811808,0.13043399923575527,0.15975800711234237,0.9902193255256861
85,0.47669106077554246,0.45361138972596476,0.5022337263458457,0.15240800000859098,0.13760970535389302,0.17008517487478755,0.15208998226290177,0.1373459034256744,0.16973284454131657,0.15168077533345276,0.13700183346267983,0.16926950155667486,0.9902193255256861
90,0.5032163021956824,0.4740451936360509,0.5353502611266215,0.16066073627589636,0.14382533059779165,0.18043676042775833,0.16026704759402172,0.14351861680873967,0.18000969020033936,0.15976726531946944,0.1431187777235266,0.17942543614298512,0.9902193255256861
